,individualID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datum,pointElevationInMeters,trait,measurement
0,MVZ 100739,36.458729999999996,-121.23423000000001,0.16089,NAD27,457.20000000000005,ear length,-
1,MVZ 100740,35.328303999999996,-119.84525,4.023,NAD27,822.96,ear length,
2,MVZ 101240,37.8505216,-122.536923,1.556,NAD27,,ear length,
3,MVZ 101332,38.107070799999995,-122.841182,0.65,NAD27,,ear length,
4,MVZ 101333,38.1192781,-122.821322,2.1758,NAD27,45.72,ear length,
5,MVZ 101334,38.1192781,-122.821322,2.1758,NAD27,45.72,ear length,
6,MVZ 101335,38.1192781,-122.821322,2.1758,NAD27,45.72,ear length,
7,MVZ 101336,38.1192781,-122.821322,2.1758,NAD27,45.72,ear length,
8,MVZ 102298,37.6365633,-121.558508,2.211,NAD27,,ear length,26
9,MVZ 104957,34.037490000000005,-116.257,0.0354,NAD27,1371.6000000000001,ear length,
10,MVZ 105370,38.414077,-119.166325,0.03,NAD27,1828.8000000000002,ear length,
11,MVZ 105801,40.65889,-123.21806000000001,0.69616,NAD27,1828.8000000000002,ear length,37
12,MVZ 105802,40.61736,-123.49373,4.414,NAD27,365.76,ear length,23
13,MVZ 107351,40.046623,-121.14513500000001,0.06096,NAD27,1173.48,ear length,
14,MVZ 108091,36.31007,-121.56788999999999,0.80467,NAD27,1524.0,ear length,28
15,MVZ 108092,36.2961,-121.5667,1.0,NAD27,1371.6000000000001,ear length,30
16,MVZ 108095,36.073785,-121.324546,0.80467,NAD27,457.20000000000005,ear length,28
17,MVZ 108096,36.073785,-121.324546,0.80467,NAD27,457.20000000000005,ear length,29
18,MVZ 108097,36.073785,-121.324546,0.80467,NAD27,457.20000000000005,ear length,30
19,MVZ 10994,41.7998952,-120.328223,1.169993,NAD27,1524.0,ear length,19
20,MVZ 10995,41.7998952,-120.328223,1.169993,NAD27,1524.0,ear length,20
21,MVZ 10996,41.7998952,-120.328223,1.169993,NAD27,1524.0,ear length,25
22,MVZ 10997,41.436398100000005,-120.344282,3.4697,NAD27,1676.4,ear length,23
23,MVZ 10998,41.436398100000005,-120.344282,3.4697,NAD27,1676.4,ear length,24
24,MVZ 10999,41.436398100000005,-120.344282,3.4697,NAD27,1676.4,ear length,23
25,MVZ 11000,41.508256700000004,-120.200876,2.144,NAD27,1524.0,ear length,28
26,MVZ 113078,41.1604001,-124.132365,0.988,NAD27,,ear length,31
27,MVZ 11399,40.60969,-124.2623,4.545,NAD27,,ear length,20
28,MVZ 113993,34.0304563,-116.30385700000001,1.609,NAD27,1524.0,ear length,
29,MVZ 113994,34.0304563,-116.30385700000001,1.609,NAD27,1524.0,ear length,
30,MVZ 11400,40.5216,-124.0327,1.1520000000000001,NAD27,,ear length,18
31,MVZ 11886,38.9026797,-120.061399,3.0210000000000004,NAD27,,ear length,
32,MVZ 119042,37.983072,-120.38110800000001,0.03,NAD27,609.6,ear length,23
33,MVZ 121894,40.201986,-121.228385,1.609,NAD27,1310.64,ear length,29
34,MVZ 122546,41.307572,-122.328516,0.195,NAD27,1048.512,ear length,
35,MVZ 122547,41.307572,-122.328516,0.195,NAD27,1048.512,ear length,31
36,MVZ 125666,34.086999999999996,-118.473699,0.1,NAD27,91.44,ear length,27
37,MVZ 125668,34.086999999999996,-118.473699,0.1,NAD27,91.44,ear length,24
38,MVZ 125669,34.086999999999996,-118.473699,0.1,NAD27,91.44,ear length,21
39,MVZ 128574,34.2523521,-117.07696200000001,1.349,NAD27,1981.2,ear length,
40,MVZ 128575,38.151055,-120.01367900000001,8.0467,NAD27,1828.8000000000002,ear length,
41,MVZ 13022,41.3783019,-122.825497,2.5878,NAD27,,ear length,
42,MVZ 13027,41.2275573,-122.38205900000001,0.415,NAD27,1656.2832,ear length,
43,MVZ 13028,41.2275573,-122.38205900000001,0.415,NAD27,1656.2832,ear length,
44,MVZ 132595,39.490667200000004,-122.688926,4.09,NAD27,426.72,ear length,25
45,MVZ 132596,39.5128001,-123.079466,0.043,NAD27,1676.4,ear length,
46,MVZ 13855,37.630297,-121.51368799999999,3.219,NAD27,,ear length,23
47,MVZ 13856,36.95177,-119.692108,1.207,NAD27,,ear length,
48,MVZ 13857,37.217068,-119.90473200000001,0.80467,NAD27,286.512,ear length,
49,MVZ 13858,37.217068,-119.90473200000001,0.80467,NAD27,286.512,ear length,20
50,MVZ 13861,36.059519,-119.31074,0.402,NAD27,79.248,ear length,
51,MVZ 13862,36.059519,-119.31074,0.402,NAD27,79.248,ear length,
52,MVZ 138949,39.7601184,-121.77806000000001,1.308,NAD27,,ear length,33
53,MVZ 138950,39.608139,-121.952233,0.484,NAD27,,ear length,28
54,MVZ 138953,40.0206377,-122.01965600000001,6.278,NAD27,,ear length,30
55,MVZ 138956,40.2963235,-122.30326200000002,3.735,NAD27,,ear length,
56,MVZ 138957,40.07522,-122.10795,7.854,NAD27,,ear length,
57,MVZ 138958,40.73111,-122.94083,1.932781,NAD27,,ear length,28
58,MVZ 138959,39.10553,-121.53687,0.386,NAD27,,ear length,29
