institutionCode	collectionCode	specimenID	specimenType	side	aggregated data	scientificName	decimalLatitude	decimalLongitude	precision	sitename	verbatimLocality	collectionDate (verbatimEventDate)	basisOfRecord	sex	measurementType	measurementValue	measurementUnit	measurementMethod	minimumChronometricAge	minimumChronometricAgeReferenceSystem	maximumChronometricAge	maximumChronometricAgeReferenceSystem	chronometricAgeProtocol	chronometricAgeUncertaintyMethod	chronometricAgeUncertaintyInYears	lithostratigraphicTerms	group	formation	member	bed	ContextName	CulturalStratigraphy: cultural region	CulturalStratigraphy: culture	CulturalStratigraphy: occupation period (aka chronology)	CulturalStratigraphy: local chronology			collection event = locality & collection date	way to separate paleo from modern?	references
Museum of the city of Las Flores	Col. HGC	5	P2 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length	38.0	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P2 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal breadth	23.8	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P2 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		height	48.0	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P2 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length of the protocone	9.5	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P3 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length	29.6	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P3 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal breadth	27.3	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P3 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		height	64.5	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P3 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length of the protocone	13.0	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P4 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length	28.0	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P4 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal breadth	27.6	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P4 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		height	70.0	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	P4 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length of the protocone	12.3	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	M1 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length	25.6	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	M1 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal breadth	26.8	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	M1 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		height	63.0	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	M1 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length of the protocone	11.9	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	M2 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length	25.9	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	5	M2 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal breadth	26.5	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
