institutionCode,individualID,scientificName,sex,country,stateProvince,lifeStage,verbatimAgeValue,eventID,basisOfRecord,locality,samplingProtocol,yearCollected,measurementMethod,measurementUnit,materialSampleID,measurementType,measurementValue,diagnosticID
Smithsonian,261111,Aepyceros melampus suara,Female,Tanzania ,,adult,Prime Adult,1223825f_c3bf_4b2f_b300_d5ceb3fe89d5,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,lb,1223825f_c3bf_4b2f_b300_d5ceb3fe89d5,body mass,78,39
Smithsonian,470199,Aepyceros melampus melampus,Male,Botswana,"Tsau, 21 Mi SE, 24 12 S, 22 17 E",juvenile,"juvenile (22-24 months), M3 erupting",ec0acf92_f9fc_4f2a_99c3_9c1d408f695a,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,lb,ec0acf92_f9fc_4f2a_99c3_9c1d408f695a,body mass,112,46
Smithsonian,470199,Aepyceros melampus melampus,Male,Botswana,,juvenile,"juvenile (22-24 months), M3 erupting",c8cbb7a9_e6a1_4e65_a97e_228d2d8f8751,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,lb,c8cbb7a9_e6a1_4e65_a97e_228d2d8f8751,body mass,112,48
Smithsonian,470198,Aepyceros melampus melampus,Male,Botswana,,adult,Prime Adult (~4),e5eefcf1_5fe2_4448_8ee4_ab3cf9cdfe0a,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,lb,e5eefcf1_5fe2_4448_8ee4_ab3cf9cdfe0a,body mass,150,49
Smithsonian,344217,Aepyceros melampus melampus,Male,South Africa,Mpumalanga,adult,Prime Adult (~5),630fbf78_d735_4fe2_9fac_0c7fa2394614,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,lb,630fbf78_d735_4fe2_9fac_0c7fa2394614,body mass,70,52
Smithsonian,163206,Aepyceros melampus suara,Male,Kenya,,adult,Prime Adult (~3),2493f25f_5f72_44d6_82d0_0627680ba495,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,lb,2493f25f_5f72_44d6_82d0_0627680ba495,body mass,48.2,57
AMNH,83534,Aepyceros melampus melampus,Female,South Africa,Bechuanaland/Orange Free State,adult,Prime Adult (~2.5),f0df2e01_c30f_490e_92ff_a5d88dea8343,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,mm,f0df2e01_c30f_490e_92ff_a5d88dea8343,humerus length from caput,179.79,107
AMNH,216391,Aepyceros melampus johnstoni,Male,Mozambique,Zinave,adult,Prime Adult (~2.5),191af3a2_4b43_4481_a7f3_1c5f46175634,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,mm,191af3a2_4b43_4481_a7f3_1c5f46175634,humerus length from caput,197.13,115
AMNH,216393,Aepyceros melampus johnstoni,Male,Mozambique,Zinave,adult,Prime Adult (~3.5),6dc47508_3344_47d8_9bbd_eeb973f55629,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,mm,6dc47508_3344_47d8_9bbd_eeb973f55629,humerus length from caput,186.03,116
AMNH,216392,Aepyceros melampus johnstoni,Male,Mozambique,Zinave,adult,Prime Adult (~3),da575ac5_9043_4b30_9664_79ffd02b16e7,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,mm,da575ac5_9043_4b30_9664_79ffd02b16e7,humerus length from caput,188.83,117
AMNH,82048,Aepyceros melampus suara,Male,Tanzania,Guerametti,adult,Young Adult (almost 2?),68aa8787_d304_4130_8fdb_8458ef014f8d,FossilSpecimen,Unknown,Unknown,Unknown,Unknown,mm,68aa8787_d304_4130_8fdb_8458ef014f8d,humerus length from caput,176.64,133
