,catalogNumber,institutionCode,otherCatalogNumbers,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,pointElevationInMeters,materialSampleID,measurementUnit,measurementType,measurementValue,diagnosticID
0, 100739,MVZ,MVZ 100739,36.458729999999996,-121.23423000000001,0.16089,457.20000000000005,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,-,d9420a6e-ff24-46f6-8bc4-f3b3a353b33f
1, 100740,MVZ,MVZ 100740,35.328303999999996,-119.84525,4.023,822.96,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,a2778e0f-9ce3-4934-be7c-8731dc69ed63
2, 101240,MVZ,MVZ 101240MVZ 101240,37.8505216,-122.536923,1.556,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,5aa89768-9b6b-40da-8280-f6b9b18891ab
3, 101332,MVZ,MVZ 101332MVZ 101332,38.107070799999995,-122.841182,0.65,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,0782f577-a1e9-4d75-aa0b-ae675e1e003f
4, 101333,MVZ,MVZ 101333MVZ 101333MVZ 101333,38.1192781,-122.821322,2.1758,45.72,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,4bdf6541-0b59-4d7f-9a5e-ef1c418522c6
5, 101334,MVZ,MVZ 101334,38.1192781,-122.821322,2.1758,45.72,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,f2825bff-d7c5-416c-a858-c7ee5a7d59a8
6, 101335,MVZ,MVZ 101335,38.1192781,-122.821322,2.1758,45.72,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,b4c52eaa-432e-425d-aded-08dd760d887a
7, 101336,MVZ,MVZ 101336,38.1192781,-122.821322,2.1758,45.72,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,790a73b6-d133-42ec-b56d-848380debc65
8, 102298,MVZ,MVZ 102298MVZ 102298,37.6365633,-121.558508,2.211,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,26,49aa9ea0-c246-4c6b-84fb-e90108a1e85e
9, 104957,MVZ,MVZ 104957,34.037490000000005,-116.257,0.0354,1371.6000000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,c5e68c7c-8d32-481a-a25a-e5f07203821a
10, 105370,MVZ,MVZ 105370,38.414077,-119.166325,0.03,1828.8000000000002,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,79146dbb-ee8a-4cf8-a430-ec3e8cb12fc9
11, 105801,MVZ,MVZ 105801,40.65889,-123.21806000000001,0.69616,1828.8000000000002,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,37,2b973462-81be-4ac2-9c52-d792db4653b0
12, 105802,MVZ,MVZ 105802MVZ 105802MVZ 105802,40.61736,-123.49373,4.414,365.76,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,23,a4cf648f-fa51-470b-b4b3-0cc12615b55d
13, 107351,MVZ,MVZ 107351,40.046623,-121.14513500000001,0.06096,1173.48,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,70f34374-3f67-470a-91ee-85eca2182588
