,catalogNumber,collectionCode,decimalLatitude,decimalLongitude,verbatimEventDate,institutionCode,verbatimAgeValue,ageValue,ageUnit,verbatimLocality,sex,scientificName,yearCollected,measurementUnit,measurementType,measurementValue,materialSampleID
0,18192,Mammals,17.7655602,-64.8816681,8/3/1972,TTU,,,,CALIDONIA ESTATE,male,Odocoileus virginianus,1972,g,body mass,9979.0,e54ab272-464b-4bf3-b1b0-707233049910
1,UAZ 24592,Mammals,31.392203000000002,-110.702582,11/20/1981,UAZ,,,,"T23S, R16E, ~1 mi. NW Washington Camp on Duquesne Rd., Patagonia Mtns., oddly pigmented, deformed-congenital skoliosis w/bilateral cateracts, illegally shot",female,Odocoileus virginianus,1981,g,body mass,8500.0,ed10de51-82e6-4c56-bce0-5f9927be6cc0
2,18217,Mammals,18.0,-64.6666718,5/5/1972,TTU,,,,,female,Odocoileus virginianus,1972,g,body mass,9979.0,50dba29a-03d9-4560-8944-b018419babea
3,32127,Mammal specimens,46.2475,-123.4125,6/1/1905,UWBM,,,,Columbian White-tailed Deer Refuge,male,Odocoileus virginianus,1905,g,body mass,5100.0,579411da-f9ab-4775-8da3-0e83cc04b90f
4,50139,Mammals,,,7/1/1905,OMNH,Juvenile,,,,female,Odocoileus virginianus,1905,g,body mass,5880.0,de35c548-367e-4b51-94a3-d526a409f87b
5,50274,Mammals,,,1/2/2007,OMNH,Juvenile,,,,female,Odocoileus virginianus,2007,g,body mass,5950.0,073d1601-4cce-4141-8378-2c3099d5ae70
6,Aug-64,Mammals,,,6/26/1987,CRCM,,,,"~2 mi. S. Anatone, Asotin Co., Washington",male,Odocoileus virginianus,1987,g,body mass,7400.0,9288e21c-e948-491e-abce-78cd8c5548b9
7,18200,Mammals,17.73806,-64.6175003,10/20/1972,TTU,,,,MADAM CARLEY ESTATE,female,Odocoileus virginianus,1972,g,body mass,24948.0,aa376078-aef1-44f2-bcfb-81c8659040a9
8,32134,Mammal specimens,46.2475,-123.4125,7/11/2017,UWBM,,,,Columbian White-tailed Deer Refuge,male,Odocoileus virginianus,2017,g,body mass,8830.0,a1bf5aee-3db9-47cc-bbee-5baad5ca1a8f
9,32129,Mammal specimens,46.2475,-123.4125,6/1/1905,UWBM,,,,Columbian White-tailed Deer Refuge,male,Odocoileus virginianus,1905,g,body mass,14500.0,4653269b-6cb6-4440-9a65-c49621be47e5
10,62086,Mammals,35.50028,-89.20833,10/24/1992,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,12700.59,acab0c7e-6d27-4ad9-9ce6-10876ca269b8
11,18196,Mammals,17.7525005,-64.6200027,10/15/1972,TTU,,,,COTTON VALLY ESTATE,male,Odocoileus virginianus,1972,g,body mass,13608.0,a3974f71-5c3c-4028-95a0-871a12557143
12,18213,Mammals,17.760559100000002,-64.7741699,6/14/1972,TTU,,,,WINDSOR ESTATE,male,Odocoileus virginianus,1972,g,body mass,18598.0,22bb896a-7973-4b30-a506-f76094d1f744
13,61039,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,19504.47,13a76769-3e1d-41e6-b045-f824b024b7cf
14,62049,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,16329.33,167cb9d2-d018-4715-84bf-ad2f2ca29b3d
15,61111,Mammals,35.50028,-89.20833,10/28/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,16782.92,777223c5-f9ae-4a6a-98d6-e8e4e4476d88
16,61089,Mammals,35.50028,-89.20833,10/19/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,11339.81,2f54f901-0b28-463e-a667-9eb7f33dd139
17,18210,Mammals,17.753889100000002,-64.605278,10/4/1972,TTU,,,,TEAGUE ESTATE,male,Odocoileus virginianus,1972,g,body mass,18184.0,4ba3a94a-391d-4a5f-9a75-b382300df270
18,65161,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,,,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,20865.25,b734a613-1cba-4e93-9f93-fae33c3f4454
19,62078,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,18143.7,1f17b273-c2bd-4190-821c-cbb15203fda7
20,62066,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,g,body mass,15875.73,e7222455-b3f2-4ff1-9228-82a9ec63ed50
21,60144,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,g,body mass,17236.51,73abfd5c-532c-4885-aad4-bae6edc55a6c
22,61044,Mammals,35.50028,-89.20833,10/26/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,15422.14,5a128e98-9849-4470-86c5-601fcdac7379
23,18214,Mammals,,,10/24/1972,TTU,,,,WOOD COTTAGE ESTATE,male,Odocoileus virginianus,1972,g,body mass,9979.0,4f33e0f2-6248-4c0b-932b-066ab9b31bec
24,18211,Mammals,17.744440100000002,-64.6041718,10/3/1972,TTU,,,,TURNERS HOLE ESTATE,male,Odocoileus virginianus,1972,g,body mass,18144.0,a3f6e2cd-5943-481c-955c-caedb690e7a5
25,61034,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,19504.47,279d8e75-9e40-4f0c-87ee-245d4ce86af1
26,18215,Mammals,,,10/19/1972,TTU,,,,YELLOW CLIFF ESTATE,female,Odocoileus virginianus,1972,g,body mass,29484.0,b736a812-6fac-4d56-b7fc-058a6c49046b
27,61134,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1991,g,body mass,14514.96,a676a44c-2b73-4335-b8fa-a47a1d2ad0e8
28,61198,Mammals,35.50028,-89.20833,10/21/1990,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,19504.47,bcc44e55-6021-4e8c-a6bb-6efbd6a0f279
29,62214,Mammals,35.50028,-89.20833,10/24/1987,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,19958.07,1f1b7326-372f-4ce2-85f7-d69ff9f52ff0
30,61128,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,22226.03,abef13a2-698e-48d1-bc50-0aa393e9f7ee
31,63504,Mammals,35.50028,-89.20833,10/17/1987,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,23133.21,201158c3-8fe4-4215-9aae-9dd81cef6137
