,occurrenceID,references,scientificName,catalogNumber,otherCatalogNumbers,sex,ageValue,ageUnit,lifeStage,country,ageEstimationMethod,stateProvince,locality,verbatimLocality,decimalLatitude,decimalLongitude,verbatimLatitude,verbatimLongitude,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimEventDate,yearCollected,samplingProtocol,eventRemarks,measurementSide,materialSampleID,measurementType,measurementValue,measurementUnit,diagnosticID
0,,,Odocoileus virginianus,Z2328,,,1.6,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Gad's Bay,Gad's Bay,27.31666667,-82.78333333,29°17′N,82°47′W,,,,,,,"Collection Date, December 1977",1977,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,a1510234-ebc6-4eaf-8a6f-f62ccef7c8a4
1,,,Odocoileus virginianus,Z2328,,,1.6,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Gad's Bay,Gad's Bay,27.31666667,-82.78333333,29°17′N,82°47′W,,,,,,,"Collection Date, December 1977",1977,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,2535f4bf-927f-427f-9bf9-442ffe10297c
2,,,Odocoileus virginianus,Z2328,,,1.6,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Gad's Bay,Gad's Bay,27.31666667,-82.78333333,29°17′N,82°47′W,,,,,,,"Collection Date, December 1977",1977,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,unknown,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,e06e6657-dafb-43ac-be46-bb3959cb7c0b
3,,,Odocoileus virginianus,Z2328,,,1.6,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Gad's Bay,Gad's Bay,27.31666667,-82.78333333,29°17′N,82°47′W,,,,,,,"Collection Date, December 1977",1977,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,unknown,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,4a2153b8-75ba-4480-bb3a-22b66f318166
4,,,Odocoileus virginianus,Z2328,,,1.6,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Gad's Bay,Gad's Bay,27.31666667,-82.78333333,29°17′N,82°47′W,,,,,,,"Collection Date, December 1977",1977,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,L,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,ff02425a-d9ce-4260-bc70-d8a9e1f435a7
5,,,Odocoileus virginianus,Z2328,,,1.6,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Gad's Bay,Gad's Bay,27.31666667,-82.78333333,29°17′N,82°47′W,,,,,,,"Collection Date, December 1977",1977,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,L,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,1eec95d3-9bc9-4a5f-8606-447a43d16258
6,,,Odocoileus virginianus,Z2328,,,1.6,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Gad's Bay,Gad's Bay,27.31666667,-82.78333333,29°17′N,82°47′W,,,,,,,"Collection Date, December 1977",1977,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,L,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,a58f9f59-8990-46c9-8cde-d6266e01a8fd
7,,,Odocoileus virginianus,Z2773,,F,1.5,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Camp Blanding,Camp Blanding game area,29.9519,-81.9799,29.9519°N,81.9799°W,,,,,,,"Collection Date, November 10, 1979",1979,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,cb5ff426-b65a-4374-b701-9c1d9030b507
8,,,Odocoileus virginianus,Z2773,,F,1.5,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Camp Blanding,Camp Blanding game area,29.9519,-81.9799,29.9519°N,81.9799°W,,,,,,,"Collection Date, November 10, 1979",1979,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,144f20f3-2fef-4215-9321-efbcc494a00a
9,,,Odocoileus virginianus,Z2773,,F,1.5,year,,USA,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",Florida,Camp Blanding,Camp Blanding game area,29.9519,-81.9799,29.9519°N,81.9799°W,,,,,,,"Collection Date, November 10, 1979",1979,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,unknown,f679de7e-dcb0-42b0-9d47-164cd01c82ee,reproductiveCondition,,mm,18f8a628-7991-41b2-9b18-ed3ca75aa16e
