,institutionCode,collectionCode,catalogNumber,measurementSide,measurementType,scientificName,decimalLatitude,decimalLongitude,locality,verbatimLocality,basisOfRecord,measurementValue,measurementUnit,lithostratigraphicTerms,formation,member,references,materialSampleID,diagnosticID
0,Museum of the city of Las Flores,Col. HGC,5,right,P2 occlusal length,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,38.0,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,9edb2583-606c-44fe-919a-ce2b883ed7c2
1,Museum of the city of Las Flores,Col. HGC,5,right,P2 occlusal breadth,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,23.8,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,5dde88f0-b222-4fa2-acfc-22af30f104c5
2,Museum of the city of Las Flores,Col. HGC,5,right,P2 height,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,48.0,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,d22630f5-925f-4af9-90f3-e65ccce8f3c7
3,Museum of the city of Las Flores,Col. HGC,5,right,P2 occlusal length of the protocone,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,9.5,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,a16440ce-fc00-48c3-84b4-c05f0ebc3b0d
4,Museum of the city of Las Flores,Col. HGC,5,right,P3 occlusal length,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,29.6,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,e38dc9f5-0b59-40ea-9f08-29fe0ef72e5a
5,Museum of the city of Las Flores,Col. HGC,5,right,P3 occlusal breadth,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,27.3,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,b96c2734-a15d-4e6b-8e43-fdb8bb500f03
6,Museum of the city of Las Flores,Col. HGC,5,right,P3 height,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,64.5,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,d2d88784-cb95-4740-9a79-07f1c6dee054
7,Museum of the city of Las Flores,Col. HGC,5,right,P3 occlusal length of the protocone,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,13.0,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,660d6630-b1d0-4e49-b6d4-2f4fdf4bfddc
8,Museum of the city of Las Flores,Col. HGC,5,right,P4 occlusal length,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,28.0,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,b4c7315f-9596-445c-8ea1-7bf5df2eb6bf
9,Museum of the city of Las Flores,Col. HGC,5,right,P4 occlusal breadth,Equus neogeus,-35,-58,Salado River,"Buenos Aires Province, Argentina",FossilSpecimen,27.6,mm,Pleistocene,Luján Formation,Río Salado Member,"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,e0e00f27-4d3f-4daf-ad36-e5ad7ef96f33
