	institutionCode	collectionCode	catalogNumber	measurementSide	measurementType	scientificName	decimalLatitude	decimalLongitude	locality	verbatimLocality	basisOfRecord	measurementValue	measurementUnit	lithostratigraphicTerms	formation	member	references	materialSampleID
0	Museum of the city of Las Flores	Col. HGC	5	right	P2 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	38.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	64c68596-dc1e-4d9b-ba75-d45012541b6b
1	Museum of the city of Las Flores	Col. HGC	5	right	P2 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	23.8	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	4ac037aa-66ee-4877-982b-12244fa4076c
2	Museum of the city of Las Flores	Col. HGC	5	right	P2 height	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	48.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	bd053451-4db0-4bb7-9d6a-869194626b76
3	Museum of the city of Las Flores	Col. HGC	5	right	P2 occlusal length of the protocone	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	9.5	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	8de489a8-3ac8-438e-bee7-aa5543f5da39
4	Museum of the city of Las Flores	Col. HGC	5	right	P3 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	29.6	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	47286655-1413-434f-b9b4-841b0e80ef19
5	Museum of the city of Las Flores	Col. HGC	5	right	P3 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	27.3	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	dc7f7e9c-3f35-4914-9386-91d25e1f9904
6	Museum of the city of Las Flores	Col. HGC	5	right	P3 height	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	64.5	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	334a2654-ea33-4f9d-ac3d-03b5451c3332
7	Museum of the city of Las Flores	Col. HGC	5	right	P3 occlusal length of the protocone	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	13.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	6322be3b-d83c-4b82-b4d5-75ecf5c872f8
8	Museum of the city of Las Flores	Col. HGC	5	right	P4 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	28.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	d04ce5d3-654e-4895-ac56-e2ca0f0c4b29
9	Museum of the city of Las Flores	Col. HGC	5	right	P4 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	27.6	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	d5562b86-56a0-4828-af5f-7bd75db3c268
10	Museum of the city of Las Flores	Col. HGC	5	right	P4 height	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	70.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	981aece2-93fa-4e1f-af7b-82599cee667c
11	Museum of the city of Las Flores	Col. HGC	5	right	P4 occlusal length of the protocone	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	12.3	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	44143f02-4bb1-4a23-9076-2485d9025651
12	Museum of the city of Las Flores	Col. HGC	5	right	M1 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	25.6	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	4bd7ebab-a6fd-46fc-b202-3d33960f54f7
13	Museum of the city of Las Flores	Col. HGC	5	right	M1 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	26.8	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	b68ed999-71fa-49a9-8285-f47f67fb292d
