,catalogNumber,individualID,collectionCode,decimalLatitude,decimalLongitude,verbatimEventDate,institutionCode,verbatimAgeValue,ageValue,ageUnit,verbatimLocality,sex,scientificName,yearCollected,measurementUnit,measurementType,measurementValue,diagnosticID
0,18192,MammalsTTU18192,Mammals,17.7655602,-64.8816681,8/3/1972,TTU,,,,CALIDONIA ESTATE,male,Odocoileus virginianus,1972,g,body mass,9979.0,4255e645-0335-4b93-a8d2-1f39e0145910
1,UAZ 24592,MammalsUAZUAZ 24592,Mammals,31.392203000000002,-110.702582,11/20/1981,UAZ,,,,"T23S, R16E, ~1 mi. NW Washington Camp on Duquesne Rd., Patagonia Mtns., oddly pigmented, deformed-congenital skoliosis w/bilateral cateracts, illegally shot",female,Odocoileus virginianus,1981,g,body mass,8500.0,5d24d0aa-f995-41cb-88a8-f5d333a32004
2,18217,MammalsTTU18217,Mammals,18.0,-64.6666718,5/5/1972,TTU,,,,,female,Odocoileus virginianus,1972,g,body mass,9979.0,ab361ac6-e966-4b14-99b1-59c997e16e47
3,32127,Mammal specimensUWBM32127,Mammal specimens,46.2475,-123.4125,6/1/1905,UWBM,,,,Columbian White-tailed Deer Refuge,male,Odocoileus virginianus,1905,g,body mass,5100.0,c72c9a8a-d314-4abb-ad52-5ae91c04fc5f
4,50139,MammalsOMNH50139,Mammals,,,7/1/1905,OMNH,Juvenile,,,,female,Odocoileus virginianus,1905,g,body mass,5880.0,a44a2295-b60f-42d9-8f4a-1aa0e8535475
5,50274,MammalsOMNH50274,Mammals,,,1/2/2007,OMNH,Juvenile,,,,female,Odocoileus virginianus,2007,g,body mass,5950.0,57ebb4c5-7baa-4604-a2c0-a349970fa15c
6,Aug-64,MammalsCRCMAug-64,Mammals,,,6/26/1987,CRCM,,,,"~2 mi. S. Anatone, Asotin Co., Washington",male,Odocoileus virginianus,1987,g,body mass,7400.0,29c729e8-4df9-4ab6-b94f-8b783cbc7f85
7,18200,MammalsTTU18200,Mammals,17.73806,-64.6175003,10/20/1972,TTU,,,,MADAM CARLEY ESTATE,female,Odocoileus virginianus,1972,g,body mass,24948.0,5bb156a1-8589-4587-8023-48417e73062d
8,32134,Mammal specimensUWBM32134,Mammal specimens,46.2475,-123.4125,7/11/2017,UWBM,,,,Columbian White-tailed Deer Refuge,male,Odocoileus virginianus,2017,g,body mass,8830.0,8560f554-83d1-44c6-94ba-8b2b7be155e3
9,32129,Mammal specimensUWBM32129,Mammal specimens,46.2475,-123.4125,6/1/1905,UWBM,,,,Columbian White-tailed Deer Refuge,male,Odocoileus virginianus,1905,g,body mass,14500.0,b32caf2c-44af-4636-90ef-7a2d793a703c
10,62086,MammalsOMNH62086,Mammals,35.50028,-89.20833,10/24/1992,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,12700.59,42334226-2c0a-401a-bbca-a5fd73347939
11,18196,MammalsTTU18196,Mammals,17.7525005,-64.6200027,10/15/1972,TTU,,,,COTTON VALLY ESTATE,male,Odocoileus virginianus,1972,g,body mass,13608.0,df18ce29-5dda-4d55-8cb9-3f74ee170664
12,18213,MammalsTTU18213,Mammals,17.760559100000002,-64.7741699,6/14/1972,TTU,,,,WINDSOR ESTATE,male,Odocoileus virginianus,1972,g,body mass,18598.0,4247d200-2a33-41dd-af87-04817e0b1397
13,61039,MammalsOMNH61039,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,19504.47,3a6ea6f8-9b52-4f1a-9ccd-a275754cd374
14,62049,MammalsOMNH62049,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,16329.33,70af3f4a-3f7c-47ec-8908-a457a0cc6608
15,61111,MammalsOMNH61111,Mammals,35.50028,-89.20833,10/28/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,16782.92,fb386e8d-8ad4-46cb-9ddd-ca0477ff1330
16,61089,MammalsOMNH61089,Mammals,35.50028,-89.20833,10/19/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,11339.81,a5c63b8f-5dfd-4e0d-97e7-d2118bc042b9
17,18210,MammalsTTU18210,Mammals,17.753889100000002,-64.605278,10/4/1972,TTU,,,,TEAGUE ESTATE,male,Odocoileus virginianus,1972,g,body mass,18184.0,27f0c2e6-d134-40c9-b9e9-4e6e87de0312
18,65161,MammalsOMNH65161,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,,,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,20865.25,426c2bc4-ed90-47ba-be25-855a5463039e
19,62078,MammalsOMNH62078,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,18143.7,10a8af87-80fe-4990-8d04-f6b4c7e9469a
20,62066,MammalsOMNH62066,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,g,body mass,15875.73,2ca1f786-0748-4c6b-b195-7f597f34067a
21,60144,MammalsOMNH60144,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,g,body mass,17236.51,2c8f589b-6d40-4baf-8677-54ec6f71623f
22,61044,MammalsOMNH61044,Mammals,35.50028,-89.20833,10/26/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,15422.14,7cf34f3f-6cff-4e1f-8a5f-6a2c4a24bd1c
23,18214,MammalsTTU18214,Mammals,,,10/24/1972,TTU,,,,WOOD COTTAGE ESTATE,male,Odocoileus virginianus,1972,g,body mass,9979.0,f5007a4a-dc54-4e87-b4aa-2f1fbc77a0c2
24,18211,MammalsTTU18211,Mammals,17.744440100000002,-64.6041718,10/3/1972,TTU,,,,TURNERS HOLE ESTATE,male,Odocoileus virginianus,1972,g,body mass,18144.0,b2dd35d1-d74c-48f2-983d-bd140ed4a4c9
25,61034,MammalsOMNH61034,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,19504.47,c93ef2d8-4c94-4dc4-838f-62bd1104d441
26,18215,MammalsTTU18215,Mammals,,,10/19/1972,TTU,,,,YELLOW CLIFF ESTATE,female,Odocoileus virginianus,1972,g,body mass,29484.0,0102af3d-a398-48e9-b0a3-d9765c4eb6e6
27,61134,MammalsOMNH61134,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1991,g,body mass,14514.96,43fdc742-1ded-48d2-8965-4d136a9d0bdd
28,61198,MammalsOMNH61198,Mammals,35.50028,-89.20833,10/21/1990,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,19504.47,8ab8e0eb-598f-4692-a546-7aac3a2ce8af
29,62214,MammalsOMNH62214,Mammals,35.50028,-89.20833,10/24/1987,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,19958.07,b14d68d9-1c08-41f4-8f64-de9d72f514cd
30,61128,MammalsOMNH61128,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,22226.03,3d3eabf2-6121-4476-b006-78a722d75205
31,63504,MammalsOMNH63504,Mammals,35.50028,-89.20833,10/17/1987,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,23133.21,b33790a8-b211-4844-95a1-f36331fb3545
32,61163,MammalsOMNH61163,Mammals,35.50028,-89.20833,10/16/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1988,g,body mass,23586.8,0996184d-bfd1-4e92-80a2-bfc94474bb8b
33,61158,MammalsOMNH61158,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,14514.96,e529a7c0-1c25-4b63-8d05-118901fd0957
