status,dataset,ID,label,source,term,
DONE,ray,,femur M1,,{femur length to greater trochanter},
DONE,ray,,humerus M1,,{humerus length to ventral tubercle},
DONE,ray,,humerus M2,,{humerus length to caput of humerus},
DONE,ray,,femur M2,,{femur length to head of femur},
DONE,kitty,,Femur.GL,,{femur length to greater trochanter},
DONE,kitty,,Humerus.GLC,,{humerus length to caput of humerus},
DONE,kitty,,Humerus.GL,,{humerus length to ventral tubercle},
DONE,vertnet,,body_length,,{body length},
DONE,vertnet,,body_mass,,{body mass},
DONE,vertnet,,ear_length,,{ear length},
DONE,vertnet,,hind_foot_length,,{hind food length},
DONE,vertnet,,tail_length,,{tail length},
DONE,Kitty,,Height (mm) [define?],,{body height},
DONE,ray,,astragalus M3,,{breadth of the trochlea of talus},
DONE,ray,,astragalus M4,,{talus breadth},
DONE,kitty,,Astragalus LmT,,{length of medial trochlea of talus},
DONE,ray,,astraglaus M2,,{length of medial trochlea of talus},
DONE,kitty,,Astragalus length of medial part of trochlea tali,,{length of medial trochlea of talus},
DONE,ray,,astragalus M7,,{depth of the medial side of talus},
DONE,kitty,,Astragalus greatest depth medial,,{depth of the medial side of talus},
DONE,kitty,,Maximal medial depth,,{depth of the medial side of talus},
DONE,kitty,,Astragalus Dm,,{depth of the medial side of talus},
DONE,ray,,astragalus M1,,{length of the medial side of talus{,
DONE,kitty,,Astragalus greatest length lateral,,{length of the lateral side of talus},
DONE,kitty,,Astragalus GLI,,{length of the lateral side of talus},
DONE,ray,,astragalus M5,,{distal articular breadth of talus},
DONE,kitty,,Astragalus Bfd,,{distal articular breadth of talus},
DONE,kitty,,Astragalus distal articular breadth,,{distal articular breadth of talus},
DONE,kitty,,Breadth astragalus of facies articularis distalis,,{distal articular breadth of talus},
DONE,kitty,,Breadth of astragalus distal articular surface,,{distal articular breadth of talus},
DONE,ray,,astragalus M6,,{distal articular depth of talus},
DONE,kitty,,Astragalus distal articular depth,,{distal articular depth of talus},
DONE,kitty,,Astragalus GH,,{talus length}, 
DONE,cougar,,total body length,,{body length with tail},
DONE,amelia,,Weight,,{body mass},
,kitty,,Calcaneus GL,,,
,kitty,,Calcaneus GB,,,
,kitty,,Calcaneus CALD,,,
,kitty,,Calcaneus Bc,,,
,kitty,,Calcaneus Dc,,,
,kitty,,Tibia GL,,,
,kitty,,Tibia Ll,,,
,kitty,,Tibia SD,,,
,kitty,,Tibia Bp,,,
,kitty,,Tibia Bd,,,
,kitty,,Tibia Dd,,,
,amelia,,Grst Breadth acss Orbits,,,
