SPEC_ID,PROTECTED = P,UPDATED = U,GENUS,SPECIES,COUNTRY,LOCALITY,COLLECTION PLACE,DATE COLLECTED,SEX,BONE,SIDE,AGE,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,,,
AMNH119480,P,U,Equus,africanus somaliensis,35,,,,male,mand,right,recent,400.0,99.5,79.3,72.1,149.2,113.0,51.7,217.9,209.4,98.5,76.9,52.6,73.1,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH119480,P,U,Equus,africanus somaliensis,35,,,,male,skull,right,recent,110.8,122.1,124.7,98.0,219.5,447.2,83.6,71.5,153.1,73.0,42.5,44.0,62.8,48.0,59.8,62.6,151.4,202.3,187.2,254.2,97.7,60.7,354.2,198.3,96.0,98.2,16.5,59.2,53.0,155.4,154.9,41.1,,,,,,,,,
AMNH119480,P,U,Equus,africanus somaliensis,35,,,,male,tmp2,right,recent,29.9,,11.8,7.0,14.8,13.1,,8.3,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH119480,P,U,Equus,africanus somaliensis,35,,,,male,tmp4,right,recent,24.2,,12.1,8.9,12.6,15.4,,10.2,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH135017,P,U,Equus,asinus,18,300,,,male,a3ph3,left,recent,37.8,35.7,41.5,31.3,20.4,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH135017,P,U,Equus,asinus,18,300,,,male,a3ph3,right,recent,38.7,36.1,41.6,32.4,20.4,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH135017,P,U,Equus,asinus,18,300,,,male,ast,right,recent,50.3,49.1,23.5,48.8,40.5,27.1,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH135017,P,U,Equus,asinus,18,300,,,male,calc,left,recent,93.5,65.5,16.1,28.8,39.0,38.0,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH135017,P,U,Equus,asinus,18,300,,,male,mciii,left,recent,199.3,193.3,25.7,19.6,41.3,27.1,37.1,10.5,,37.0,36.4,28.2,22.2,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH135017,P,U,Equus,asinus,18,300,,,male,mciii,right,recent,198.8,193.1,25.3,19.6,41.6,25.6,35.8,10.6,,37.0,36.8,28.3,22.3,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH135017,P,U,Equus,asinus,18,300,,,male,mtiii,left,recent,239.3,233.3,23.0,23.0,40.8,28.3,38.9,10.8,7.7,37.8,35.5,29.7,23.3,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH135017,P,U,Equus,asinus,18,300,,,male,mtiii,right,recent,239.7,232.8,22.9,22.9,40.4,29.0,37.7,11.0,8.4,37.5,36.0,29.8,22.6,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
