Genus,species,specimen,Measurement description,Measurement code (Scott 1990),Measurement code (Alberdi et al. 1995),Measurement (mm)
Equus,quagga,SMNS6708,Femur minimum diaphysis width,F6,,37.09
Equus,quagga,SMNS6709,Femur minimum diaphysis width,F6,,37.29
Equus,quagga,SMNS7335,Femur minimum diaphysis width,F6,,38.54
Equus,quagga,SMNS6708,Femur maximum distal width,F5,,89.28
Equus,quagga,SMNS6709,Femur maximum distal width,F5,,86.73
Equus,quagga,SMNS7335,Femur maximum distal width,F5,,84.49
Equus,quagga,SMNS6708,Femur medial length,F1,,374
Equus,quagga,SMNS6709,Femur medial length,F1,,364
Equus,quagga,SMNS7335,Femur medial length,F1,,357
Equus,quagga,SMNS6708,Humerus minimum diaphysis width,H7,,34.7
Equus,quagga,SMNS6709,Humerus minimum diaphysis width,H7,,33.2
Equus,quagga,SMNS7335,Humerus minimum diaphysis width,H7,,33.9
Equus,quagga,SMNS6708,Humerus trochlea width,H4,,68.99
Equus,quagga,SMNS6709,Humerus trochlea width,H4,,71.58
Equus,quagga,SMNS7335,Humerus trochlea width,H4,,65.81
Equus,quagga,SMNS6708,Humerus medial length,H1,,267.6
Equus,quagga,SMNS6709,Humerus medial length,H1,,250.4
Equus,quagga,SMNS7335,Humerus medial length,H1,,250.6
Equus,quagga,AMNH267814,Metacarpal III minimum diaphysis width,MC6,MC3,29.3
Equus,quagga,SMNS6708,Metacarpal III minimum diaphysis width,MC6,MC3,31.75
Equus,quagga,SMNS7335,Metacarpal III minimum diaphysis width,MC6,MC3,29.24
Equus,quagga,USNM161928,Metacarpal III minimum diaphysis width,MC6,MC3,29.4
Equus,quagga,USNM161928,Metacarpal III minimum diaphysis width,MC6,MC3,29.1
Equus,quagga,USNM162951,Metacarpal III minimum diaphysis width,MC6,MC3,30.8
Equus,quagga,USNM162951,Metacarpal III minimum diaphysis width,MC6,MC3,31.4
Equus,quagga,USNM534228,Metacarpal III minimum diaphysis width,MC6,MC3,29.9
Equus,quagga,USNM534228B,Metacarpal III minimum diaphysis width,MC6,MC3,32.9
Equus,grevyi,AMNH82036,Metacarpal III minimum diaphysis width,MC6,MC3,33.4
Equus,grevyi,AMNH82036,Metacarpal III minimum diaphysis width,MC6,MC3,33.3
Equus,grevyi,USNM152231,Metacarpal III minimum diaphysis width,MC6,MC3,31
Equus,grevyi,USNM152231,Metacarpal III minimum diaphysis width,MC6,MC3,31.1
Equus,grevyi,USNM161927,Metacarpal III minimum diaphysis width,MC6,MC3,31
Equus,grevyi,USNM163331,Metacarpal III minimum diaphysis width,MC6,MC3,32.5
Equus,grevyi,USNM163331,Metacarpal III minimum diaphysis width,MC6,MC3,32.8
Equus,grevyi,USNM163332,Metacarpal III minimum diaphysis width,MC6,MC3,28.7
Equus,grevyi,USNM163333,Metacarpal III minimum diaphysis width,MC6,MC3,22.4
Equus,grevyi,USNM163333,Metacarpal III minimum diaphysis width,MC6,MC3,28
Equus,grevyi,USNM163334,Metacarpal III minimum diaphysis width,MC6,MC3,31.9
Equus,grevyi,USNM163334,Metacarpal III minimum diaphysis width,MC6,MC3,32.2
Equus,grevyi,USNM163338,Metacarpal III minimum diaphysis width,MC6,MC3,33.2
Equus,grevyi,USNM163338,Metacarpal III minimum diaphysis width,MC6,MC3,33.6
Equus,grevyi,USNM241009,Metacarpal III minimum diaphysis width,MC6,MC3,32.7
Equus,grevyi,USNM241009,Metacarpal III minimum diaphysis width,MC6,MC3,33.4
Equus,grevyi,USNM49796,Metacarpal III minimum diaphysis width,MC6,MC3,31.5
Equus,grevyi,USNM49796,Metacarpal III minimum diaphysis width,MC6,MC3,31.5
Equus,grevyi,USNM49944,Metacarpal III minimum diaphysis width,MC6,MC3,31.2
Equus,grevyi,USNM49944,Metacarpal III minimum diaphysis width,MC6,MC3,31.2
Equus,quagga,AMNH267814,Metacarpal III proximal width,MC2,MC5,48.2
Equus,quagga,SMNS6708,Metacarpal III proximal width,MC2,MC5,48.98
Equus,quagga,SMNS7335,Metacarpal III proximal width,MC2,MC5,44.86
Equus,quagga,USNM161928,Metacarpal III proximal width,MC2,MC5,45.2
Equus,quagga,USNM161928,Metacarpal III proximal width,MC2,MC5,45.7
Equus,quagga,USNM162951,Metacarpal III proximal width,MC2,MC5,46.4
Equus,quagga,USNM162951,Metacarpal III proximal width,MC2,MC5,46.6
Equus,quagga,USNM534228,Metacarpal III proximal width,MC2,MC5,44.6
Equus,quagga,USNM534228B,Metacarpal III proximal width,MC2,MC5,47.5
Equus,grevyi,AMNH82036,Metacarpal III proximal width,MC2,MC5,53.6
Equus,grevyi,AMNH82036,Metacarpal III proximal width,MC2,MC5,53.4
Equus,grevyi,USNM152231,Metacarpal III proximal width,MC2,MC5,49.8
Equus,grevyi,USNM152231,Metacarpal III proximal width,MC2,MC5,50.3
Equus,grevyi,USNM161927,Metacarpal III proximal width,MC2,MC5,45.4
Equus,grevyi,USNM163331,Metacarpal III proximal width,MC2,MC5,48.9
Equus,grevyi,USNM163331,Metacarpal III proximal width,MC2,MC5,49
Equus,grevyi,USNM163332,Metacarpal III proximal width,MC2,MC5,50.9
Equus,grevyi,USNM163333,Metacarpal III proximal width,MC2,MC5,42.3
Equus,grevyi,USNM163333,Metacarpal III proximal width,MC2,MC5,47.6
Equus,grevyi,USNM163334,Metacarpal III proximal width,MC2,MC5,51.8
Equus,grevyi,USNM163334,Metacarpal III proximal width,MC2,MC5,52.1
Equus,grevyi,USNM163338,Metacarpal III proximal width,MC2,MC5,54.7
Equus,grevyi,USNM163338,Metacarpal III proximal width,MC2,MC5,54.2
Equus,grevyi,USNM241009,Metacarpal III proximal width,MC2,MC5,52.7
Equus,grevyi,USNM241009,Metacarpal III proximal width,MC2,MC5,52.1
Equus,grevyi,USNM49796,Metacarpal III proximal width,MC2,MC5,50.2
Equus,grevyi,USNM49796,Metacarpal III proximal width,MC2,MC5,50.3
Equus,grevyi,USNM49944,Metacarpal III proximal width,MC2,MC5,49.2
Equus,grevyi,USNM49944,Metacarpal III proximal width,MC2,MC5,49.3
Equus,quagga,AMNH267814,Metacarpal III maximum distal width,MC4,MC10,43.7
Equus,quagga,SMNS6708,Metacarpal III maximum distal width,MC4,MC10,46.02
Equus,quagga,SMNS6709,Metacarpal III maximum distal width,MC4,MC10,43.81
Equus,quagga,SMNS7335,Metacarpal III maximum distal width,MC4,MC10,41.77
Equus,quagga,USNM161928,Metacarpal III maximum distal width,MC4,MC10,44
Equus,quagga,USNM161928,Metacarpal III maximum distal width,MC4,MC10,44.1
Equus,quagga,USNM162951,Metacarpal III maximum distal width,MC4,MC10,42.1
Equus,quagga,USNM162951,Metacarpal III maximum distal width,MC4,MC10,42.6
Equus,quagga,USNM534228,Metacarpal III maximum distal width,MC4,MC10,42.2
Equus,quagga,USNM534228B,Metacarpal III maximum distal width,MC4,MC10,45.2
Equus,grevyi,AMNH82036,Metacarpal III maximum distal width,MC4,MC10,47.8
Equus,grevyi,AMNH82036,Metacarpal III maximum distal width,MC4,MC10,47.1
Equus,grevyi,USNM152231,Metacarpal III maximum distal width,MC4,MC10,44.2
Equus,grevyi,USNM152231,Metacarpal III maximum distal width,MC4,MC10,44.5
Equus,grevyi,USNM161927,Metacarpal III maximum distal width,MC4,MC10,43.2
Equus,grevyi,USNM163331,Metacarpal III maximum distal width,MC4,MC10,48.3
Equus,grevyi,USNM163331,Metacarpal III maximum distal width,MC4,MC10,48.4
Equus,grevyi,USNM163332,Metacarpal III maximum distal width,MC4,MC10,44.5
Equus,grevyi,USNM163333,Metacarpal III maximum distal width,MC4,MC10,43.1
Equus,grevyi,USNM163333,Metacarpal III maximum distal width,MC4,MC10,42.9
Equus,grevyi,USNM163334,Metacarpal III maximum distal width,MC4,MC10,46.8
Equus,grevyi,USNM163334,Metacarpal III maximum distal width,MC4,MC10,45.8
Equus,grevyi,USNM163338,Metacarpal III maximum distal width,MC4,MC10,48.6
Equus,grevyi,USNM163338,Metacarpal III maximum distal width,MC4,MC10,48.5
Equus,grevyi,USNM241009,Metacarpal III maximum distal width,MC4,MC10,47.6
Equus,grevyi,USNM241009,Metacarpal III maximum distal width,MC4,MC10,47.5
Equus,grevyi,USNM49796,Metacarpal III maximum distal width,MC4,MC10,45.7
Equus,grevyi,USNM49796,Metacarpal III maximum distal width,MC4,MC10,45.1
Equus,grevyi,USNM49944,Metacarpal III maximum distal width,MC4,MC10,46
Equus,grevyi,USNM49944,Metacarpal III maximum distal width,MC4,MC10,46.2
Equus,quagga,AMNH267814,Metacarpal III maximum length,MC1,MC1,198.2
Equus,quagga,SMNS6708,Metacarpal III maximum length,MC1,MC1,207.15
Equus,quagga,SMNS6709,Metacarpal III maximum length,MC1,MC1,202.19
Equus,quagga,SMNS7335,Metacarpal III maximum length,MC1,MC1,206.4
Equus,quagga,SMNSA598327,Metacarpal III maximum length,MC1,MC1,209.66
Equus,quagga,USNM161928,Metacarpal III maximum length,MC1,MC1,206
Equus,quagga,USNM161928,Metacarpal III maximum length,MC1,MC1,206.5
Equus,quagga,USNM162951,Metacarpal III maximum length,MC1,MC1,196.7
Equus,quagga,USNM162951,Metacarpal III maximum length,MC1,MC1,196.8
Equus,quagga,USNM534228,Metacarpal III maximum length,MC1,MC1,196.5
Equus,quagga,USNM534228B,Metacarpal III maximum length,MC1,MC1,203
Equus,grevyi,AMNH82036,Metacarpal III maximum length,MC1,MC1,235
Equus,grevyi,AMNH82036,Metacarpal III maximum length,MC1,MC1,236.4
Equus,grevyi,USNM152231,Metacarpal III maximum length,MC1,MC1,230.2
Equus,grevyi,USNM152231,Metacarpal III maximum length,MC1,MC1,228.5
Equus,grevyi,USNM161927,Metacarpal III maximum length,MC1,MC1,208.6
Equus,grevyi,USNM163331,Metacarpal III maximum length,MC1,MC1,235.4
Equus,grevyi,USNM163331,Metacarpal III maximum length,MC1,MC1,234.3
Equus,grevyi,USNM163332,Metacarpal III maximum length,MC1,MC1,238.4
Equus,grevyi,USNM163333,Metacarpal III maximum length,MC1,MC1,219.5
Equus,grevyi,USNM163333,Metacarpal III maximum length,MC1,MC1,221.5
Equus,grevyi,USNM163334,Metacarpal III maximum length,MC1,MC1,235.6
Equus,grevyi,USNM163334,Metacarpal III maximum length,MC1,MC1,236.2
Equus,grevyi,USNM163338,Metacarpal III maximum length,MC1,MC1,243.4
Equus,grevyi,USNM163338,Metacarpal III maximum length,MC1,MC1,244
Equus,grevyi,USNM241009,Metacarpal III maximum length,MC1,MC1,240.3
Equus,grevyi,USNM241009,Metacarpal III maximum length,MC1,MC1,240.6
Equus,grevyi,USNM49796,Metacarpal III maximum length,MC1,MC1,229
Equus,grevyi,USNM49796,Metacarpal III maximum length,MC1,MC1,229.7
Equus,grevyi,USNM49944,Metacarpal III maximum length,MC1,MC1,236.2
Equus,grevyi,USNM49944,Metacarpal III maximum length,MC1,MC1,235.4
Equus,quagga,AMNH267814,Metatarsal III minimum diaphysis width,MT6,MT3,29.2
Equus,quagga,SMNS6708,Metatarsal III minimum diaphysis width,MT6,MT3,31.62
Equus,quagga,SMNS6709,Metatarsal III minimum diaphysis width,MT6,MT3,30.09
Equus,quagga,SMNS7335,Metatarsal III minimum diaphysis width,MT6,MT3,28.6
Equus,quagga,USNM161928,Metatarsal III minimum diaphysis width,MT6,MT3,30.4
Equus,quagga,USNM161928,Metatarsal III minimum diaphysis width,MT6,MT3,30.9
Equus,quagga,USNM162951,Metatarsal III minimum diaphysis width,MT6,MT3,30.5
Equus,quagga,USNM162951,Metatarsal III minimum diaphysis width,MT6,MT3,30.5
Equus,quagga,USNM534228,Metatarsal III minimum diaphysis width,MT6,MT3,30.8
Equus,quagga,USNM534228B,Metatarsal III minimum diaphysis width,MT6,MT3,33.4
Equus,grevyi,AMNH82036,Metatarsal III minimum diaphysis width,MT6,MT3,31.6
Equus,grevyi,AMNH82036,Metatarsal III minimum diaphysis width,MT6,MT3,32.4
Equus,grevyi,USNM161927,Metatarsal III minimum diaphysis width,MT6,MT3,30.7
Equus,grevyi,USNM163331,Metatarsal III minimum diaphysis width,MT6,MT3,32.6
Equus,grevyi,USNM163331,Metatarsal III minimum diaphysis width,MT6,MT3,32.1
Equus,grevyi,USNM163332,Metatarsal III minimum diaphysis width,MT6,MT3,28.2
Equus,grevyi,USNM163333,Metatarsal III minimum diaphysis width,MT6,MT3,26.2
Equus,grevyi,USNM163333,Metatarsal III minimum diaphysis width,MT6,MT3,26.3
Equus,grevyi,USNM163334,Metatarsal III minimum diaphysis width,MT6,MT3,31.2
Equus,grevyi,USNM163334,Metatarsal III minimum diaphysis width,MT6,MT3,31.3
Equus,grevyi,USNM163338,Metatarsal III minimum diaphysis width,MT6,MT3,32.2
Equus,grevyi,USNM163338,Metatarsal III minimum diaphysis width,MT6,MT3,32.8
Equus,grevyi,USNM241009,Metatarsal III minimum diaphysis width,MT6,MT3,32.5
Equus,grevyi,USNM241009,Metatarsal III minimum diaphysis width,MT6,MT3,31.7
Equus,grevyi,USNM49796,Metatarsal III minimum diaphysis width,MT6,MT3,30.3
Equus,grevyi,USNM49944,Metatarsal III minimum diaphysis width,MT6,MT3,30.5
Equus,grevyi,USNM49944,Metatarsal III minimum diaphysis width,MT6,MT3,30.4
Equus,quagga,AMNH267814,Metatarsal III proximal width,MT2,MT5,47.2
Equus,quagga,SMNS6708,Metatarsal III proximal width,MT2,MT5,50.22
