Specimen.Number,Proxy.Specimen.Number,Annual.Specimen.Number,YOC.Specimen.Number,dec.lat,dec.long,max.error,datum,elevation.ft,c.diastema.1.mm,c.diastema.2.mm,c.toothrow.1.mm,c.toothrow.2.mm,ear.length.mm,hind.foot.length.mm,tail.length.mm,total.length.mm,body.mass.g,annual.station.id,annual.station.distance.km,calveg,ann.precip.cm,ann.precip.in,avg.temp.c,avg.temp.f,yoc.station.id,yoc.station.distance,calveg,fall.max.c,fall.min.c,fall.precip.in,spr.max.c,spr.min.c,spr.precip.in,sum.max.c,sum.min.c,sum.precip.in,win.max.c,win.min.c,win.precip.in
MVZ 100739,MVZ 100739,,,36.45873,-121.23423,0.16089,NAD27,1500,8.17,,12.18,,-,55,162,370,311,,,,,,,,,,,,,,,,,,,,,,
MVZ 100740,MVZ 100740,,,35.328304,-119.84525,4.023,NAD27,2700,7.52,,11,,,50,152,387,501,,,,,,,,,,,,,,,,,,,,,,
MVZ 101240,,MVZ 101240,MVZ 101240,37.8505216,-122.536923,1.556,NAD27,,8.2,,11.59,,,55,170,418,,40693,23.8414838,CSC,64.516,25.4,14.22222222,57.6,40693,23.8414838,CSC,68.45,52.12,1.7833333,64.13,46.70667,2.1066667,71.27667,52.82667,0.10333333,58.02667,44.04667,4.4733333
MVZ 101332,,MVZ 101332,MVZ 101332,38.1070708,-122.841182,0.65,NAD27,,9.78,,11.21,,,52,169,417,511,46826,24.3700563,CSC,65.659,25.85,14.72222222,58.5,46826,24.3700563,CSC,77.54667,43.66667,1.7266667,67.57667,40.95,1.9566667,79.35,47.49,0.09333333,60.95667,38.16333,4.84
MVZ 101333,MVZ 101333,MVZ 101333,MVZ 101333,38.1192781,-122.821322,2.1758,NAD27,150,9.52,,12.05,,,55,166,406,,46826,22.192578,CSC,65.659,25.85,14.72222222,58.5,46826,22.192578,CSC,77.54667,43.66667,1.7266667,67.57667,40.95,1.9566667,79.35,47.49,0.09333333,60.95667,38.16333,4.84
MVZ 101334,MVZ 101334,,,38.1192781,-122.821322,2.1758,NAD27,150,8.95,,11.62,,,60,196,456,,,,,,,,,,,,,,,,,,,,,,,
MVZ 101335,MVZ 101335,,,38.1192781,-122.821322,2.1758,NAD27,150,10.81,,11.69,,,61,198,470,724,,,,,,,,,,,,,,,,,,,,,,
MVZ 101336,MVZ 101336,,,38.1192781,-122.821322,2.1758,NAD27,150,9.34,,12.22,,,45,173,423,558,,,,,,,,,,,,,,,,,,,,,,
MVZ 102298,,MVZ 102298,MVZ 102298,37.6365633,-121.558508,2.211,NAD27,,8.7,,11.16,,26,52,142,412,,44997,19.0823005,AGS,37.6428,14.82,15.44444444,59.8,44997,19.0823005,AGS,74.77,46.4,0.9866667,65.99333,45.80667,1.2866667,83.14333,50.395,0.06666667,58.03667,39.29667,2.6
MVZ 104957,MVZ 104957,,,34.03749,-116.257,0.0354,NAD27,4500,9.14,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
