Site,EAP Acc#,Provenience (field number),ID Catalog# (cat#=element or portion),Specimen Catalog# (cat#=organism),Cantryll Test# (test#=analyst sample number),Period,Date,ID,Element,Side,Description completeness,Age (modern only),Fusion,Cantryll notes,Scapula HS,Scapula DHA,Scapula Ld,Scapula SLC,Scapula ASG,Scapula GLP,Scapula LG,Scapula BG,Humerus GLC,Humerus GL,Humerus Bp,Humerus Dp,Humerus SD,Humerus Bd,Humerus Dd,Humerus BT,Humerus HT,Humerus HTC,Radius GL,Radius Bp,Radius Dp,Radius BFp,Radius SD,Radius Bd,Radius Dd,Ulna GL,Ulna LO,Ulna DPA,Ulna SDO,Metacarpal GL,Metacarpal Bp,Metacarpal Dp,Metacarpal SDt,Metacarpal SDs,Metacarpal Bd,Metacarpal Dd,Metacarpal BFd,Pelvis LAR,Pelvis LAR,Femur GL,Femur GLC,Femur Dp,Femur Bp,Femur SD,Femur Bd,Femur Dd,Tibia GL,Tibia Bp,Tibia Dp,Tibia SD,Tibia Bd,Tibia Dd,Astragalus GLl,Astragalus GLm,Astragalus LLMc,Astraglus Bd,Astragalus Dl,Astragalus Dm,Astragalus Bp,Calcaneum GL,Calcaneum GB,Calcaneum GD,Calcaneum LB,Calcaneum LD,Metatarsal GL,Metatarsal Bp,Metatarsal Dp,Metatarsal SDt,Metatarsal SDs,Metatarsal Bd,Metatarsal Dd,Metatarsal BFd,Phalanx 1 GL,Phalanx 1 Bp,Phalanx 1 Dp,Phalanx 1 SDt,Phalanx 1 SDs,Phalanx 1 Bd,Phalanx 1 Dd,Phalanx 2 GL,Phalanx 2 Bp,Phalanx 2 Dp,Phalanx 2 SDt,Phalanx 2 SDs,Phalanx 2 Bd,Phalanx 2 Dd,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguateca,EAP0638,AG31A-10-2-1,131,n/a,907AG,Late Classic,A.D. 730-810,Odocoileus virginianus,astragalus,left,whole,,fused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.76,31,28.57,20.72,16.66,16.96,18.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguateca,EAP0638,AG31A-10-2-1,131,n/a,908AG,Late Classic,A.D. 730-810,Odocoileus virginianus,ulna,left,proximal,,fused proximal,"908AG ulna Odocoileus v complete olecranon superiorcrest fused, GL unavailable.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,51.26,33.11,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguateca,EAP0638,AG31B-12-1-1,286,n/a,909AG,mixed Classic period,,Odocoileus virginianus,radius,right,,,fused proximal,,,,,,,,,,,,,,,,,,,,,31.28,19.61,30.34,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguateca,EAP0638,AG31B-14-2-1,359,n/a,901AG,Late Classic,A.D. 730-810,Odocoileus virginianus,proximal phalanx,,whole,,fused proximal and distal,100AG phalanx1 Odocoileus v complete.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.44,14.38,17.39,10.64,,11.11,10.21,,,,,,,,,,,,,,,
Aguateca,EAP0638,AG31D-4-1-1,212,n/a,903AG,mixed Classic period,,Odocoileus virginianus,humerus,left,whole,,fused proximal and distal,903AG humerus Odocoileus v almost complete broken in three places GL and GLC is a refit GLC taken with calipers GL taken with osteoboard board is typically 4mm greater than same measurement with calipers. Proximal epiphysis is closed but visible.,,,,,,,,,176.87,193,52.15,41.57,16.83,35.75,32.49,30.18,24.67,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguateca,EAP0638,AG22A-11-2-1,148,n/a,904AG,Late Classic,A.D. 730-810,Odocoileus virginianus,radius,left,shaft and distal epiphysis,,fused/large,904AG radius Odocoileus v distal 70% pathology: slight ridge along the ulnar groove more interesting is the groove itself is almost filled with woven bone.,,,,,,,,,,,,,,,,,,,,,,,11.49,28.37,21.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguateca,EAP0638,AG30B-4-2-5,122,n/a,905AG,mixed Classic period,,Odocoileus virginianus,radius,right,distal w/epiphysis,,fused/large,905AG radius Odocoileus v proximal 40% serious erosion on posterior surface only Bp available.,,,,,,,,,,,,,,,,,,,,33.28,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguateca,EAP0638,AG31A-9-1-2,134,n/a,900AG,mixed Classic period,,Odocoileus virginianus,humerus,left,proximal epiphysis,,unfused epiphysis,,,,,,,,,,39.71,13.28,15.92,9.67,10.56,10.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguateca,EAP0638,AG31B-12-1-1,286,n/a,910AG,mixed Classic period,,Odocoileus virginianus,calcaneum,left,,,"unfused tuber calsis, juvenile cortex","910AG calcaneus Odocoileus distal 70% superior crest absent no GL available, medial surface eroded GB unavailable.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
