1st_body_mass,1st_total_length,catalognumber,collectioncode,decimallatitude,decimallongitude,dynamicproperties,1st_ear_length,eventdate,fieldnotes,1st_hind_foot_length,institutioncode,1st_life_stage_notation,2nd_life_stage_notation,lifestage,ageValue,ageUnit,locality,occurrenceid,reproductivecondition,scientificname,sex,1st_sex_notation,1st_tail_length,1st_testes_side
9979,813,18192,Mammals,17.7655602,-64.8816681,"{""totalLengthInMM"":""813"", ""tailLengthInMM"":""102"", ""hindfootLengthInMM"":""275"", ""earLengthInMM"":""102"", ""weightInGrams"":""9979"" }",102,8/3/1972,,275,TTU,,,,,,CALIDONIA ESTATE,urn:catalog:TTU:Mammals:18192,,Odocoileus virginianus,male,male,102,
8500,835,UAZ 24592,Mammals,31.392203,-110.702582,"{""earLengthInMM"":""120"", ""hindfootLengthInMM"":""225"", ""tail"":""147"", ""totalLength"":""835"", ""weight"":""8500"" }",120,11/20/1981,,225,UAZ,,,,,,"T23S, R16E, ~1 mi. NW Washington Camp on Duquesne Rd., Patagonia Mtns., oddly pigmented, deformed-congenital skoliosis w/bilateral cateracts, illegally shot",urn:catalog:UAZ:Mammals:UAZ 24592,,Odocoileus virginianus,female,female,147,
9979,838,18217,Mammals,18,-64.6666718,"{""totalLengthInMM"":""838"", ""tailLengthInMM"":""102"", ""hindfootLengthInMM"":""279"", ""earLengthInMM"":""102"", ""weightInGrams"":""9979"" }",102,5/5/1972,,279,TTU,,,,,,,urn:catalog:TTU:Mammals:18217,,Odocoileus virginianus,female,female,102,
5100,850,32127,Mammal specimens,46.2475,-123.4125,ear from notch=90 mm; hind foot with claw=300 mm; tail length=140 mm; total length=850 mm; weight=5.1 kg; verbatim collector=H. T. Dublin ; verbatim collector=H. T. Dublin 022 ; sex=male,90,6/1/1905,,300,UWBM,,,,,,Columbian White-tailed Deer Refuge,http://arctos.database.museum/guid/UWBM:Mamm:32127?seid=3664608,,Odocoileus virginianus,male,male,140,
5880,858,50139,Mammals,,,"{""totalLengthInmm"":""858"", ""tailLengthInmm"":""150"", ""hindfootLengthInmm"":""285"", ""earLengthInmm"":""100"", ""weightIng"":""5880""}",100,7/1/1905,Yes,285,OMNH,Juvenile,,Juvenile,,,,urn:catalog:OMNH:Mammals:50139,"VO, no embs",Odocoileus virginianus,female,female,150,
5950,870,50274,Mammals,,,"{""totalLengthInmm"":""870"", ""tailLengthInmm"":""145"", ""hindfootLengthInmm"":""290"", ""earLengthInmm"":""95"", ""weightIng"":""5950""}",95,1/2/2007,Yes,290,OMNH,Juvenile,,Juvenile,,,,urn:catalog:OMNH:Mammals:50274,VC,Odocoileus virginianus,female,female,145,
7400,870,Aug-64,Mammals,,,"{""ear length"":""100.0"", ""hind foot length"":""300.0"", ""tail length"":""150.0"", ""total length"":""870.0"", ""weight"":""7,400.0"" }",100,6/26/1987,,300,CRCM,,,,,,"~2 mi. S. Anatone, Asotin Co., Washington",urn:catalog:CRCM:Mammals:08-64,,Odocoileus virginianus,male,male,150,
24948,965,18200,Mammals,17.73806,-64.6175003,"{""totalLengthInMM"":""965"", ""tailLengthInMM"":""127"", ""hindfootLengthInMM"":""305"", ""earLengthInMM"":""127"", ""weightInGrams"":""24948"" }",127,10/20/1972,,305,TTU,,,,,,MADAM CARLEY ESTATE,urn:catalog:TTU:Mammals:18200,,Odocoileus virginianus,female,female,127,
8830,970,32134,Mammal specimens,46.2475,-123.4125,ear from notch=106 mm; hind foot with claw=320 mm; tail length=172 mm; total length=970 mm; weight=8.83 kg; reproductive data=not scrotal ; verbatim collector=H. T. Dublin ; verbatim collector=J. Rozdilsky 290 ; sex=male,106,7/11/2017,,320,UWBM,,,,,,Columbian White-tailed Deer Refuge,http://arctos.database.museum/guid/UWBM:Mamm:32134?seid=3643886,,Odocoileus virginianus,male,male,172,
14500,1008,32129,Mammal specimens,46.2475,-123.4125,ear from notch=100 mm; hind foot with claw=330 mm; tail length=185 mm; total length=1008 mm; weight=14.5 kg; verbatim collector=H. T. Dublin ; verbatim collector=H. T. Dublin 024 ; sex=male,100,6/1/1905,,330,UWBM,,,,,,Columbian White-tailed Deer Refuge,http://arctos.database.museum/guid/UWBM:Mamm:32129?seid=3643141,,Odocoileus virginianus,male,male,185,
