materialSampleID,sitename,verbatimEventDate,sex,measurementSide,verbatimLocality,scientificName,measurementValue,minimumChronometricAge,maximumChronometricAge,measurementType,individualID,measurementUnit,observationID
OU1144/1,,,unknown,right,new,Hippotherium giganteum,399.28,7.0,NA,{length line of medial condyle of femur to greater trochanter},OU1144/1,mm,6e030914-104b-4712-8684-5e0a5cf986ff
HLMDSS-2,,,unknown,no record,new,"Hipparion" sp.,188,8.0,NA,{length line trochlea of humerus to caput of humerus},HLMDSS-2,mm,eced82dc-c7c0-4843-a4d4-31442dbec0a7
Ho1154,,,unknown,left,new,Hippotherium primigeneium,0,10.3,NA,{length line of medial condyle of femur to greater trochanter},Ho1154,mm,4f23b718-337f-46c9-b63d-887d2e17d216
Ho194,,,unknown,norecord,new,Hippotherium primigeneium,0,10.3,NA,{length line of medial condyle of femur to greater trochanter},Ho194,mm,e0706d98-7e10-4658-94c0-639f9a0f75fd
Ho195052,,,unknown,right,new,Hippotherium primigeneium,400,10.3,NA,{length line of medial condyle of femur to greater trochanter},Ho195052,mm,4d37d1c4-ae6f-4e1f-b51f-b1194cc8658c
Ho205,,,unknown,right,new,Hippotherium primigeneium,0,10.3,NA,{length line of medial condyle of femur to greater trochanter},Ho205,mm,86d55952-bb0b-457b-ad53-0406cc03d163
Ho205052,,,unknown,left,new,Hippotherium primigeneium,352,10.3,NA,{length line of medial condyle of femur to greater trochanter},Ho205052,mm,264d0f66-0b3d-4727-ac75-74ebc11895b2
Ho2955,,,unknown,norecord,new,Hippotherium primigeneium,0,10.3,NA,{length line of medial condyle of femur to greater trochanter},Ho2955,mm,ca2a0b6b-39ab-4f1a-819a-d5c22081e77a
Ho4156,,,unknown,left,new,Hippotherium primigeneium,247.8,10.3,NA,{length line trochlea of humerus to caput of humerus},Ho4156,mm,d9aa7d67-e45d-4734-86d0-bb4df84fa180
Ho554,,,unknown,norecord,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},Ho554,mm,f4c3b2e8-0ef5-4a08-8345-bffdd6dda8f6
Ho5759,,,unknown,right,new,Hippotherium primigeneium,238.4,10.3,NA,{length line trochlea of humerus to caput of humerus},Ho5759,mm,91376776-bb7b-4da9-b217-7816586e82c9
Ho62,,,unknown,right,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},Ho62,mm,9097ff55-be5e-4bad-9bcc-c95baa3d628d
Ho63,,,unknown,left,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},Ho63,mm,ee5ce555-73f0-49bc-a108-8a3cd5710eeb
HoA54,,,male,left,new,Hippotherium primigeneium,380,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoA54,mm,6f37bff8-fdc6-4e28-ae01-8d4a5b4743db
HoA54,,,male,right,new,Hippotherium primigeneium,370,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoA54,mm,52d5a6b9-d4de-45d3-b6f5-e8fbef9b1860
HoA54,,,male,left,new,Hippotherium primigeneium,283,10.3,NA,{length line trochlea of humerus to caput of humerus},HoA54,mm,c93936a2-94fe-4adf-8acb-de08bfe6b945
HoA54,,,male,right,new,Hippotherium primigeneium,273,10.3,NA,{length line trochlea of humerus to caput of humerus},HoA54,mm,f0de535c-105e-43cc-88e9-310cca06fb76
HoB54112,,,male,left,new,Hippotherium primigeneium,345,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoB54112,mm,4fe18931-7881-4a67-a785-9c8350c41765
HoB548,,,male,right,new,Hippotherium primigeneium,250.5,10.3,NA,{length line trochlea of humerus to caput of humerus},HoB548,mm,524b7b98-3ef5-4ce9-8801-82d7a8f9eb00
HoC5466,,,female,left,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},HoC5466,mm,e0ad87b9-a00f-4f1e-97c1-3c432a32bf9c
HoC5467,,,female,right,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},HoC5467,mm,4f0f55c8-2541-4877-99b8-0cc59827d0f8
HoC5470,,,female,right,new,Hippotherium primigeneium,365,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoC5470,mm,e8cc3e27-155b-4589-ba05-f7f199f19396
HoC5471,,,female,left,new,Hippotherium primigeneium,0,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoC5471,mm,07005747-a73f-4528-85c8-cdc5d35e9adb
HoE54102,,,female,left,new,Hippotherium primigeneium,392,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoE54102,mm,8b4fba61-3103-42d1-90e6-5a3a544315a5
HoE54114,,,female,right,new,Hippotherium primigeneium,278.6,10.3,NA,{length line trochlea of humerus to caput of humerus},HoE54114,mm,668ac40c-9d85-4fca-8b02-d75714d8287c
HoE54115,,,female,left,new,Hippotherium primigeneium,275.8,10.3,NA,{length line trochlea of humerus to caput of humerus},HoE54115,mm,5aeac306-68f0-49d2-8ab0-fa30788491f7
HoE5478,,,female,right,new,Hippotherium primigeneium,0,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoE5478,mm,22814810-0ef0-4532-aab7-5241cc5f7eb5
HoG54,,,male,left,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},HoG54,mm,8d22fc73-ad30-43f5-b7ab-187cb3052ba8
HoG54,,,male,right,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},HoG54,mm,252ea580-f804-4659-a92b-c870a304b094
HoI531,,,female,left,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},HoI531,mm,ba63cf51-05e5-4cd3-984b-4d6909c5cb41
HoII53,,,unknown,left,new,Hippotherium primigeneium,0,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoII53,mm,3a2933dd-089d-4b77-b539-45b937974262
HoII53,,,unknown,left,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},HoII53,mm,6cd66ff4-6e20-47af-8cd8-d868171b9024
HoIII,,,unknown,left,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},HoIII,mm,81cb2400-7dc2-460e-9157-db81a332a41b
HoIII,,,unknown,right,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},HoIII,mm,50b5b50e-b05e-4bf1-9f5a-852bd138cfac
HoT56,,,unknown,left,new,Hippotherium primigeneium,282.8,10.3,NA,{length line trochlea of humerus to caput of humerus},HoT56,mm,cc64cfdc-ba8a-4953-b0f9-68e65360d6a5
HoT5634,,,unknown,left,new,Hippotherium primigeneium,370,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoT5634,mm,323a7a78-a3fe-4f71-a142-540bfe2e583d
