"materialSampleID","sitename","verbatimEventDate","sex","measurementSide","verbatimLocality","scientificName","measurementValue","minimumChronometricAge","maximumChronometricAge","measurementType","individualID","measurementUnit","observationID"
"OU1144/1","","","unknown","right","new","Hippotherium giganteum",399.28,"7.0",NA,"{length line of medial condyle of femur to greater trochanter}","OU1144/1","mm","35c998db-5a81-431c-8c8a-49bb35fce999"
"HLMDSS-2","","","unknown","no record","new","""Hipparion""  sp.",188,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","HLMDSS-2","mm","9163f213-5391-4526-b330-f62b19c02623"
"Ho1154","","","unknown","left","new","Hippotherium primigeneium",0,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","Ho1154","mm","df719ef2-2e20-4d30-bf1d-24cdd2cd1a42"
"Ho194","","","unknown","norecord","new","Hippotherium primigeneium",0,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","Ho194","mm","833ab7db-f4f8-4b28-8633-d2e10a87ff36"
"Ho195052","","","unknown","right","new","Hippotherium primigeneium",400,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","Ho195052","mm","87f2d4a0-6bf4-4924-aff8-349df504ac75"
"Ho205","","","unknown","right","new","Hippotherium primigeneium",0,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","Ho205","mm","67692b35-996a-4563-a734-80efa589a846"
"Ho205052","","","unknown","left","new","Hippotherium primigeneium",352,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","Ho205052","mm","483255e7-1800-4600-a3fd-65e69009553d"
"Ho2955","","","unknown","norecord","new","Hippotherium primigeneium",0,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","Ho2955","mm","cc7c6467-5a78-4f9d-bd32-5c9dddf0cbdf"
"Ho4156","","","unknown","left","new","Hippotherium primigeneium",247.8,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","Ho4156","mm","4e8acd96-6c31-4d94-8a40-5d6572a456fc"
"Ho554","","","unknown","norecord","new","Hippotherium primigeneium",0,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","Ho554","mm","1626d797-6cba-45b7-b132-d2c3c4670be2"
"Ho5759","","","unknown","right","new","Hippotherium primigeneium",238.4,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","Ho5759","mm","2949f66c-b4fd-472c-bc9a-e318464cae86"
"Ho62","","","unknown","right","new","Hippotherium primigeneium",0,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","Ho62","mm","33d3e414-5d21-4ff3-8f09-b104c61ee8d1"
"Ho63","","","unknown","left","new","Hippotherium primigeneium",0,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","Ho63","mm","d99357fd-cdca-49b3-a7d6-97920217f3a1"
"HoA54","","","male","left","new","Hippotherium primigeneium",380,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","HoA54","mm","433c89f3-7260-4963-bdcf-198576accd33"
"HoA54","","","male","right","new","Hippotherium primigeneium",370,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","HoA54","mm","a8c992b3-2f97-4e5d-8ff0-d7c0b4a521aa"
"HoA54","","","male","left","new","Hippotherium primigeneium",283,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","HoA54","mm","beef4cc2-808d-43cb-b3d0-dddbecc25ef0"
"HoA54","","","male","right","new","Hippotherium primigeneium",273,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","HoA54","mm","4dc2d4dd-15e0-4036-926b-b16082313032"
"HoB54112","","","male","left","new","Hippotherium primigeneium",345,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","HoB54112","mm","53781694-99d2-4ed7-a5b9-9ee0c712b8e8"
"HoB548","","","male","right","new","Hippotherium primigeneium",250.5,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","HoB548","mm","50319d6d-11a2-4bd1-aa67-07c7d1c3616e"
